,Institution,Faculty Name,Field,HomePage,Research Interests,Scholar Url,h_index,i10_index,Image
186,Indian Institute of Technology Guwahati,Jatindra Kumar Deka,Computer Science and Engineering,https://iitg.ac.in/iitg_faculty_details?name=Jatindra-Kumar%20Deka&fac=YkZ0Y1gwWTBOSmhBdzIwRXl4cEJKQT09,"[ 'Formal Modelling and Verification ' , ' CAD for VLSI and Embedded Systems ( Design ' , ' Testing and Verification ) ' , ' Data Mining ' ]",https://scholar.google.co.in/citations?user=9Z4kD-sAAAAJ,69,173,https://iitg.ac.in/storage/faculty/1433faculty.JPG
187,Indian Institute of Technology Guwahati,Jiten Chandra Kalita,Mathematics,https://iitg.ac.in/iitg_faculty_details?name=Jiten%20Chandra-Kalita&fac=WGpoSm1oamZvcTVtKzFtVnMvOW1IUT09,"[ 'Computational and Topological Fluid Dynamics ' , ' Numerical method for Partial Differential Equations ' , ' Mathematical Biology ' ]",https://scholar.google.co.in/citations?user=poffOnYAAAAJ,22,46,https://iitg.ac.in/storage/faculty/439jck-maths.jpg
188,Indian Institute of Technology Guwahati,Jubaraj Bikash Baruah,Chemistry,https://iitg.ac.in/iitg_faculty_details?name=Jubaraj%20Bikash-Baruah&fac=RG9XQmc4ZU9UekpLWnpZeGVYRE5HQT09,[ 'Inorganic Chemistry . ' ],https://scholar.google.co.in/citations?user=RVEb-6AAAAAJ,0,0,https://iitg.ac.in/storage/faculty/9135faculty.JPG
189,Indian Institute of Technology Guwahati,K. S. R. Krishna Murthy,Mechanical Engineering,https://iitg.ac.in/iitg_faculty_details?name=K.%20S.%20R.-Krishna%20Murthy&fac=THBQT1FwRjJVK1VBd1NKMWh1dmNiZz09,[ 'ERROR ESTIMATION AND FRACTURE MECHANICS | Finite Element Methods | ' ],https://scholar.google.co.in/citations?user=qOl1YgEAAAAJ,61,176,https://iitg.ac.in/storage/faculty/4434faculty.JPG
190,Indian Institute of Technology Guwahati,K.V. Krishna,Mathematics,https://iitg.ac.in/iitg_faculty_details?name=K.V.-Krishna&fac=T1BOcUtxT0ZvVExTZzhDb3RTZnN2dz09,[ 'General Algebra Theoretical Computer Science ' ],https://scholar.google.co.in/citations?user=07l2oOQAAAAJ,19,24,https://iitg.ac.in/storage/faculty/1614kvk-maths.jpg
191,Indian Institute of Technology Guwahati,Kalpesh Kapoor,Mathematics,https://iitg.ac.in/iitg_faculty_details?name=Kalpesh-Kapoor&fac=Y1hOVHB0WWxqbExwQ2ZXWkRYUFR3dz09,[ 'Word Combinatorics ' ],https://scholar.google.co.in/citations?user=9TsaEbMAAAAJ,12,21,https://iitg.ac.in/storage/faculty/389kk-maths.jpg
192,Indian Institute of Technology Guwahati,Kalyanasis Sahu,Chemistry,https://iitg.ac.in/iitg_faculty_details?name=Kalyanasis-Sahu&fac=aDc2SExSVzVucW42UWMwa2ZrTUNPUT09,"[ 'Time Resolved Absorption and Fluorescence Spectroscopy ' , ' SHG ' , ' MUPPETS . ' ]",https://scholar.google.co.in/citations?user=YwQDobMAAAAJ,0,0,https://iitg.ac.in/storage/faculty/4658faculty.JPG
193,Indian Institute of Technology Guwahati,Karuna Kalita,Mechanical Engineering Centre for the Environment School of Agro and Rural Technology,https://iitg.ac.in/iitg_faculty_details?name=Karuna-Kalita&fac=N0NtdmpRZXh1VWo3YUF5R01nVlVqQT09,[ 'Coupled Dynamics of Electro-Mechanical Systems | Vibration | Rotordynamics | ' ],https://scholar.google.co.in/citations?user=T8N8lbYAAAAJ,24,39,https://iitg.ac.in/storage/faculty/2721faculty.JPG
194,Indian Institute of Technology Guwahati,Kaustubha Mohanty,Chemical Engineering Centre for the Environment,https://iitg.ac.in/iitg_faculty_details?name=Kaustubha-Mohanty&fac=S2dKdk9JbEpMQklkSWYvY0xLRno5QT09,"[ 'Biofuels ' , ' Biomass pyrolysis ' , ' Biological wastewater treatment ' , ' Heterogeneous catalysis ' , ' Microalgae biorefinery ' , ' Membrane base separation ' , ' Ionic liquid base separation ' , ' Waste management . ' ]",https://scholar.google.co.in/citations?user=QOFTgxAAAAAJ,47,135,https://iitg.ac.in/storage/faculty/6771faculty.JPG
195,Indian Institute of Technology Guwahati,Lal Mohan Kundu,Chemistry Centre for the Environment Centre for Sustainable Water Research,https://iitg.ac.in/iitg_faculty_details?name=Lal%20Mohan-Kundu&fac=bEl3VmRicGRpb2daVXNuclZPOGNNdz09,"[ 'Nucleic Acid / Peptide Chemistry ' , ' DNA / RNA Damage and Repair ' , ' DNA Hybrid Materials . ' ]",https://scholar.google.co.in/citations?user=tzLi0psAAAAJ,12,14,https://iitg.ac.in/storage/faculty/1038faculty.JPG
196,Indian Institute of Technology Guwahati,Lingaraj Sahoo,Biosciences and Bioengineering Centre for Nanotechnology,https://iitg.ac.in/iitg_faculty_details?name=Lingaraj-Sahoo&fac=R1Q1SjlyOWRvQXZZUXFZRXluZXRCZz09,[ 'Genetic engineering and functional genomics of plant . ' ],https://scholar.google.co.in/citations?user=elIBAo0AAAAJ,38,92,https://iitg.ac.in/storage/faculty/2323img.jpg
197,Indian Institute of Technology Guwahati,M. Guru Prem Prasad,Mathematics,https://iitg.ac.in/iitg_faculty_details?name=M.%20Guru%20Prem-Prasad&fac=NlFzZ0s0elNENDRGVktEcnl1bEpkQT09,"[ 'Complex Dynamics ' , ' Fractals and its application ' , ' Computational Complex Analysis . ' ]",https://scholar.google.co.in/citations?user=U9785ZcAAAAJ,10,10,https://iitg.ac.in/storage/faculty/8795faculty.JPG
198,Indian Institute of Technology Guwahati,M. K. Bhuyan,Electronics and Electrical Engineering Centre for Linguistic Science and Technology Mehta Family School of Data Science and Artificial Intelligence,https://iitg.ac.in/iitg_faculty_details?name=M.%20K.-Bhuyan&fac=UzJOTDk1VG4wRU5LWmszbFFVZldwUT09,"[ 'Machine Learning and Artificial Intelligence ' , ' Image and Video Processing ' , ' Computer Vision ' , ' Human Computer Interactions ( HCI ) ' , ' Virtual Reality and Augmented Reality ' , ' Biomedical Signal Processing . ' ]",https://scholar.google.co.in/citations?user=9Z4kD-sAAAAJ,69,173,https://iitg.ac.in/storage/faculty/2718mkbhyan1.jpg
199,Indian Institute of Technology Guwahati,Mahuya De,Chemical Engineering,https://iitg.ac.in/iitg_faculty_details?name=Mahuya-De&fac=TDg0VjEzYk9uT0pHeXdiT3BOZG1uZz09,"[ 'Catalysis and reaction engineering ' , ' adsorption ' , ' hydrocarbon processing . ' ]",https://scholar.google.co.in/citations?user=NqD0DoYAAAAJ,9,9,https://iitg.ac.in/storage/faculty/9035img.jpg
200,Indian Institute of Technology Guwahati,Manabendra Ray,Chemistry Centre for the Environment,https://iitg.ac.in/iitg_faculty_details?name=Manabendra-Ray&fac=TzR5eUUzaEJqMWh3NWpxZWpvbVR3QT09,[ 'Bioinorganic and coordination chemistry . ' ],https://scholar.google.co.in/citations?user=9jiwuBIAAAAJ,7,6,https://iitg.ac.in/storage/faculty/5027faculty.JPG
201,Indian Institute of Technology Guwahati,Manish Kumar,Biosciences and Bioengineering Centre for Disaster Management and Research,https://iitg.ac.in/iitg_faculty_details?name=Manish-Kumar&fac=SmNOeVZaNWNkQTRKTk1KdExXcHM1Zz09,[ 'Molecular interaction of host-pathogen-vector of infectious disease ' ],https://scholar.google.co.in/citations?user=9Z4kD-sAAAAJ,69,173,https://iitg.ac.in/storage/faculty/367img.jpg
202,Indian Institute of Technology Guwahati,Manmohan Pandey,Mechanical Engineering,https://iitg.ac.in/iitg_faculty_details?name=Manmohan-Pandey&fac=bncwUHdTSkFtcmlRMk1kNjA2d3o0Zz09,[ 'Nuclear Reactor Thermal-Hydraulics | Dynamics and Control of Fluid-Thermal Systems | ' ],https://scholar.google.co.in/citations?user=1rf3e3cAAAAJ,14,18,https://iitg.ac.in/storage/faculty/4130img.jpg
203,Indian Institute of Technology Guwahati,Mihir Kumar Purkait,Chemical Engineering Centre for the Environment Centre for Sustainable Water Research,https://iitg.ac.in/iitg_faculty_details?name=Mihir%20Kumar-Purkait&fac=YmsrYWRKcmZOZGlmUTB5NTJHYiswQT09,"[ 'Membrane technology ; Effluent treatment and waste management ; Advanced separation process ; Catalysis ; Nanoparticles and nano-composites ; Bio-diesel ; Bio-products ' , ' vegetable and fruit juice processing ; CO2 to product and liquid fuel . ' ]",https://scholar.google.co.in/citations?user=9Z4kD-sAAAAJ,69,173,https://iitg.ac.in/storage/faculty/2182faculty.JPG
204,Indian Institute of Technology Guwahati,Mohd. Qureshi,Chemistry,https://iitg.ac.in/iitg_faculty_details?name=Mohd.-Qureshi&fac=b2dRMkRKT1BGVzNaV3dETmF1TUlHdz09,[ 'Materials Chemistry . ' ],https://scholar.google.co.in/citations?user=LA-T5PEAAAAJ,26,48,https://iitg.ac.in/storage/faculty/275faculty.JPG
